DATE,NIKKEI225,DJIA,DEXJPUS
2009-05-29,9522.5,8500.33,95.55
2009-06-01,9677.75,8721.44,96.53
2009-06-02,9704.31,8740.87,95.72
2009-06-03,9741.67,8675.28,95.72
2009-06-04,9668.96,8750.24,96.37
2009-06-05,9768.01,8763.13,98.18
2009-06-08,9865.63,8764.49,98.56
2009-06-09,9786.82,8763.06,97.6
2009-06-10,9991.49,8739.02,98.13
2009-06-11,9981.33,8770.92,97.83
2009-06-12,10135.82,8799.26,98.17
2009-06-15,10039.67,8612.13,98.03
2009-06-16,9752.88,8504.67,96.26
2009-06-17,9840.85,8497.18,95.65
2009-06-18,9703.72,8555.6,96.36
2009-06-19,9786.26,8539.73,96.15
2009-06-22,9826.27,8339.01,95.9
2009-06-23,9549.61,8322.91,95.32
2009-06-24,9590.32,8299.86,95.38
2009-06-25,9796.08,8472.4,96.21
2009-06-26,9877.39,8438.39,95.19
2009-06-29,9783.47,8529.38,95.84
2009-06-30,9958.44,8447.0,96.42
2009-07-01,9939.93,8504.06,96.41
2009-07-02,9876.15,8280.74,95.9
2009-07-03,9816.07,,95.95
2009-07-06,9680.87,8324.87,95.0
2009-07-07,9647.79,8163.6,95.11
2009-07-08,9420.75,8178.41,92.9
2009-07-09,9291.06,8183.17,92.79
2009-07-10,9287.28,8146.52,92.33
2009-07-13,9050.33,8331.68,92.74
2009-07-14,9261.81,8359.49,93.03
2009-07-15,9269.25,8616.21,94.09
2009-07-16,9344.16,8711.82,93.59
2009-07-17,9395.32,8743.94,94.08
2009-07-20,,8848.15,94.52
2009-07-21,9652.02,8915.94,93.36
2009-07-22,9723.16,8881.26,93.77
2009-07-23,9792.94,9069.29,94.75
2009-07-24,9944.55,9093.24,94.86
2009-07-27,10088.66,9108.51,95.32
2009-07-28,10087.26,9096.72,94.6
2009-07-29,10113.24,9070.72,95.13
2009-07-30,10165.21,9154.46,95.67
2009-07-31,10356.83,9171.61,94.54
2009-08-03,10352.47,9286.56,95.23
2009-08-04,10375.01,9320.19,95.41
2009-08-05,10252.53,9280.97,94.98
2009-08-06,10388.09,9256.26,95.56
2009-08-07,10412.09,9370.07,97.65
2009-08-10,10524.26,9337.95,97.23
2009-08-11,10585.46,9241.45,95.94
2009-08-12,10435.0,9361.61,96.16
2009-08-13,10517.19,9398.19,95.46
2009-08-14,10597.33,9321.4,94.64
2009-08-17,10268.61,9135.34,94.33
2009-08-18,10284.96,9217.94,94.72
2009-08-19,10204.0,9279.16,93.87
2009-08-20,10383.41,9350.05,94.12
2009-08-21,10238.2,9505.96,94.6
2009-08-24,10581.05,9509.28,94.47
2009-08-25,10497.36,9539.29,94.28
2009-08-26,10639.71,9543.52,94.25
2009-08-27,10473.97,9580.63,93.57
2009-08-28,10534.14,9544.2,93.55
2009-08-31,10492.53,9496.28,92.82
2009-09-01,10530.06,9310.6,93.09
2009-09-02,10280.46,9280.67,92.43
2009-09-03,10214.64,9344.61,92.54
2009-09-04,10187.11,9441.27,92.75
2009-09-07,10320.94,,
2009-09-08,10393.23,9497.34,92.21
2009-09-09,10312.14,9547.22,91.85
2009-09-10,10513.67,9627.48,91.86
2009-09-11,10444.33,9605.41,90.3
2009-09-14,10202.06,9626.8,90.85
2009-09-15,10217.62,9683.41,90.95
2009-09-16,10270.77,9791.71,91.0
2009-09-17,10443.8,9783.92,91.15
2009-09-18,10370.54,9820.2,91.31
2009-09-21,,9778.86,91.87
2009-09-22,,9829.87,91.08
2009-09-23,,9748.55,91.45
2009-09-24,10544.22,9707.44,91.16
2009-09-25,10265.98,9665.19,89.83
2009-09-28,10009.52,9789.36,89.34
2009-09-29,10100.2,9742.2,90.26
2009-09-30,10133.23,9712.28,89.49
2009-10-01,9978.64,9509.28,89.73
2009-10-02,9731.87,9487.67,89.62
2009-10-05,9674.49,9599.75,89.56
2009-10-06,9691.8,9731.25,88.77
2009-10-07,9799.6,9725.58,88.76
2009-10-08,9832.47,9786.87,88.44
2009-10-09,10016.39,9864.94,89.69
2009-10-12,,9885.8,
2009-10-13,10076.56,9871.06,89.71
2009-10-14,10060.21,10015.86,89.44
2009-10-15,10238.65,10062.94,90.39
2009-10-16,10257.56,9995.91,90.73
2009-10-19,10236.51,10092.19,90.72
2009-10-20,10336.84,10041.48,90.83
2009-10-21,10333.39,9949.36,91.04
2009-10-22,10267.17,10081.31,91.42
2009-10-23,10282.99,9972.18,91.88
2009-10-26,10362.62,9867.96,91.96
2009-10-27,10212.46,9882.17,92.04
2009-10-28,10075.05,9762.69,91.07
2009-10-29,9891.1,9962.58,91.41
2009-10-30,10034.74,9712.73,90.5
2009-11-02,9802.95,9789.44,90.56
2009-11-03,,9771.91,90.3
2009-11-04,9844.31,9802.14,90.96
2009-11-05,9717.44,10005.96,90.45
2009-11-06,9789.35,10023.42,89.86
2009-11-09,9808.99,10226.94,89.92
2009-11-10,9870.73,10246.97,89.82
2009-11-11,9871.68,10291.26,
2009-11-12,9804.49,10197.47,90.4
2009-11-13,9770.31,10270.47,89.55
2009-11-16,9791.18,10406.96,89.28
2009-11-17,9729.93,10437.42,89.41
2009-11-18,9676.8,10426.31,89.36
2009-11-19,9549.47,10332.44,88.95
2009-11-20,9497.68,10318.16,88.9
2009-11-23,,10450.95,89.14
2009-11-24,9401.58,10433.71,88.58
2009-11-25,9441.64,10464.4,87.65
2009-11-26,9383.24,,
2009-11-27,9081.52,10309.92,86.87
2009-11-30,9345.55,10344.84,86.12
2009-12-01,9572.2,10471.58,86.62
2009-12-02,9608.94,10452.68,87.13
2009-12-03,9977.67,10366.15,88.2
2009-12-04,10022.59,10388.9,89.87
2009-12-07,10167.6,10390.11,89.44
2009-12-08,10140.47,10285.97,88.41
2009-12-09,10004.72,10337.05,87.83
2009-12-10,9862.82,10405.83,88.2
2009-12-11,10107.87,10471.5,89.23
2009-12-14,10105.68,10501.05,88.65
2009-12-15,10083.48,10452.0,89.91
2009-12-16,10177.41,10441.12,89.52
2009-12-17,10163.8,10308.26,90.35
2009-12-18,10142.05,10328.89,90.47
2009-12-21,10183.47,10414.14,90.95
2009-12-22,10378.03,10464.93,91.67
2009-12-23,,10466.44,91.52
2009-12-24,10536.92,10520.1,91.69
2009-12-25,10494.71,,
2009-12-28,10634.23,10547.08,91.57
2009-12-29,10638.06,10545.41,91.95
2009-12-30,10546.44,10548.51,92.66
2009-12-31,,10428.05,93.08
2010-01-01,,,
2010-01-04,10654.79,10583.96,92.55
2010-01-05,10681.83,10572.02,91.48
2010-01-06,10731.45,10573.68,92.53
2010-01-07,10681.66,10606.86,93.31
2010-01-08,10798.32,10618.19,92.7
2010-01-11,,10663.99,91.9
2010-01-12,10879.14,10627.26,90.95
2010-01-13,10735.03,10680.77,91.38
2010-01-14,10907.68,10710.55,91.03
2010-01-15,10982.1,10609.65,90.79
2010-01-18,10855.08,,
2010-01-19,10764.9,10725.43,91.13
2010-01-20,10737.52,10603.15,91.23
2010-01-21,10868.41,10389.88,90.25
2010-01-22,10590.55,10172.98,90.07
2010-01-25,10512.69,10196.86,90.12
2010-01-26,10325.28,10194.29,89.63
2010-01-27,10252.08,10236.16,89.41
2010-01-28,10414.29,10120.46,90.08
2010-01-29,10198.04,10067.33,90.38
2010-02-01,10205.02,10185.53,90.8
2010-02-02,10371.09,10296.85,90.39
2010-02-03,10404.33,10270.55,91.11
2010-02-04,10355.98,10002.18,89.11
2010-02-05,10057.09,10012.23,89.25
2010-02-08,9951.82,9908.39,89.32
2010-02-09,9932.9,10058.64,89.45
2010-02-10,9963.99,10038.38,89.88
2010-02-11,,10144.19,89.82
2010-02-12,10092.19,10099.14,90.0
2010-02-15,10013.3,,
2010-02-16,10034.25,10268.81,90.46
2010-02-17,10306.83,10309.24,90.79
2010-02-18,10335.69,10392.9,91.43
2010-02-19,10123.58,10402.35,91.94
2010-02-22,10400.47,10383.38,91.11
2010-02-23,10352.1,10282.41,90.04
2010-02-24,10198.83,10374.16,90.06
2010-02-25,10101.96,10321.03,88.85
2010-02-26,10126.03,10325.26,88.84
2010-03-01,10172.06,10403.79,89.28
2010-03-02,10221.84,10405.98,88.95
2010-03-03,10253.14,10396.76,88.43
2010-03-04,10145.72,10444.14,89.02
2010-03-05,10368.96,10566.2,90.32
2010-03-08,10585.92,10552.52,90.3
2010-03-09,10567.65,10564.38,89.89
2010-03-10,10563.92,10567.33,90.62
2010-03-11,10664.95,10611.84,90.6
2010-03-12,10751.26,10624.69,90.46
2010-03-15,10751.98,10642.15,90.45
2010-03-16,10721.71,10685.98,90.43
2010-03-17,10846.98,10733.67,90.42
2010-03-18,10744.03,10779.17,90.46
2010-03-19,10824.72,10741.98,90.5
2010-03-22,,10785.89,90.02
2010-03-23,10774.15,10888.83,90.24
2010-03-24,10815.03,10836.15,91.89
2010-03-25,10828.85,10841.21,92.69
2010-03-26,10996.37,10850.36,92.56
2010-03-29,10986.47,10895.86,92.65
2010-03-30,11097.14,10907.42,92.89
2010-03-31,11089.94,10856.63,93.4
2010-04-01,11244.4,10927.07,93.83
2010-04-02,11286.09,,94.51
2010-04-05,11339.3,10973.55,94.28
2010-04-06,11282.32,10969.99,93.81
2010-04-07,11292.83,10897.52,93.59
2010-04-08,11168.2,10927.07,93.16
2010-04-09,11204.34,10997.35,93.28
2010-04-12,11251.9,11005.97,93.21
2010-04-13,11161.23,11019.42,92.78
2010-04-14,11204.9,11123.11,93.01
2010-04-15,11273.79,11144.57,93.04
2010-04-16,11102.18,11018.66,92.03
2010-04-19,10908.77,11092.05,92.18
2010-04-20,10900.68,11117.06,93.28
2010-04-21,11090.05,11124.92,93.24
2010-04-22,10949.09,11134.29,93.01
2010-04-23,10914.46,11204.28,94.18
2010-04-26,11165.79,11205.03,94.06
2010-04-27,11212.66,10991.99,93.01
2010-04-28,10924.79,11045.27,94.07
2010-04-29,,11167.32,94.16
2010-04-30,11057.4,11008.61,94.24
2010-05-03,,11151.83,94.68
2010-05-04,,10926.77,94.58
2010-05-05,,10868.12,94.3
2010-05-06,10695.69,10520.32,92.22
2010-05-07,10364.59,10380.43,91.67
2010-05-10,10530.7,10785.14,93.39
2010-05-11,10411.1,10748.26,92.83
2010-05-12,10394.03,10896.91,92.93
2010-05-13,10620.55,10782.95,92.7
2010-05-14,10462.51,10620.16,91.94
2010-05-17,10235.76,10625.83,92.08
2010-05-18,10242.64,10510.95,92.52
2010-05-19,10186.84,10444.37,91.16
2010-05-20,10030.31,10068.01,90.07
2010-05-21,9784.54,10193.39,90.21
2010-05-24,9758.4,10066.57,90.49
2010-05-25,9459.89,10043.75,89.89
2010-05-26,9522.66,9974.45,90.28
2010-05-27,9639.72,10258.99,90.71
2010-05-28,9762.98,10136.63,90.81
2010-05-31,9768.7,,
2010-06-01,9711.83,10024.02,91.16
2010-06-02,9603.24,10249.54,92.21
2010-06-03,9914.19,10255.28,92.33
2010-06-04,9901.19,9931.97,91.83
2010-06-07,9520.8,9816.49,92.0
2010-06-08,9537.94,9939.98,91.3
2010-06-09,9439.13,9899.25,91.54
2010-06-10,9542.65,10172.53,91.04
2010-06-11,9705.25,10211.07,91.72
2010-06-14,9879.85,10190.89,91.8
2010-06-15,9887.89,10404.77,91.25
2010-06-16,10067.15,10409.46,91.39
2010-06-17,9999.4,10434.17,90.92
2010-06-18,9995.02,10450.64,90.79
2010-06-21,10238.01,10442.41,91.18
2010-06-22,10112.89,10293.52,90.59
2010-06-23,9923.7,10298.44,89.82
2010-06-24,9928.34,10152.8,89.4
2010-06-25,9737.48,10143.81,89.35
2010-06-28,9693.94,10138.52,89.23
2010-06-29,9570.67,9870.3,88.39
2010-06-30,9382.64,9774.02,88.49
2010-07-01,9191.6,9732.53,87.42
2010-07-02,9203.71,9686.48,87.69
2010-07-05,9266.78,,
2010-07-06,9338.04,9743.62,87.55
2010-07-07,9279.65,10018.28,87.16
2010-07-08,9535.74,10138.99,88.44
2010-07-09,9585.32,10198.03,88.48
2010-07-12,9548.11,10216.27,88.53
2010-07-13,9537.23,10363.02,88.24
2010-07-14,9795.24,10366.72,88.59
2010-07-15,9685.53,10359.31,87.41
2010-07-16,9408.36,10097.9,86.4
2010-07-19,,10154.43,86.77
2010-07-20,9300.46,10229.96,87.22
2010-07-21,9278.83,10120.53,87.3
2010-07-22,9220.88,10322.3,87.0
2010-07-23,9430.96,10424.62,87.31
2010-07-26,9503.66,10525.43,87.2
2010-07-27,9496.85,10537.69,87.88
2010-07-28,9753.27,10497.88,87.62
2010-07-29,9696.02,10467.16,86.87
2010-07-30,9537.3,10465.94,86.43
2010-08-02,9570.31,10674.38,86.42
2010-08-03,9694.01,10636.38,85.88
2010-08-04,9489.34,10680.43,86.26
2010-08-05,9653.92,10674.98,85.83
2010-08-06,9642.12,10653.56,85.25
2010-08-09,9572.49,10698.75,85.88
2010-08-10,9551.05,10644.25,85.88
2010-08-11,9292.85,10378.83,85.36
2010-08-12,9212.59,10319.95,85.83
